class_idx,class_name,ap,num_gt
22,zebra,0.3372,236
6,train,0.3248,212
23,giraffe,0.2988,225
15,cat,0.2287,255
4,airplane,0.1799,238
53,pizza,0.1651,257
5,bus,0.1595,246
20,elephant,0.1466,223
21,bear,0.1403,67
61,toilet,0.1333,237
59,bed,0.1017,215
74,clock,0.0958,292
3,motorcycle,0.0855,303
16,dog,0.0745,310
14,bird,0.0529,384
17,horse,0.0497,244
75,vase,0.0458,227
11,stop sign,0.0433,76
77,teddy bear,0.0389,200
60,dining table,0.0372,585
10,fire hydrant,0.0353,85
18,sheep,0.0341,473
0,person,0.0337,8779
19,cow,0.0333,261
7,truck,0.0228,357
30,skis,0.0180,250
37,surfboard,0.0152,215
66,keyboard,0.0143,135
63,laptop,0.0137,219
48,sandwich,0.0100,174
69,oven,0.0093,152
54,donut,0.0082,214
13,bench,0.0081,362
72,refrigerator,0.0063,124
62,tv,0.0063,265
50,broccoli,0.0062,375
36,skateboard,0.0053,241
2,car,0.0051,1382
27,tie,0.0047,269
46,banana,0.0043,399
41,cup,0.0027,665
57,couch,0.0026,275
56,chair,0.0019,1336
47,apple,0.0017,155
49,orange,0.0016,185
45,bowl,0.0015,557
38,tennis racket,0.0015,168
33,kite,0.0014,355
71,sink,0.0012,288
25,umbrella,0.0009,384
9,traffic light,0.0002,451
55,cake,0.0002,267
1,bicycle,0.0002,300
40,wine glass,0.0002,247
8,boat,0.0001,370
39,bottle,0.0001,860
51,carrot,0.0001,289
73,book,0.0000,667
12,parking meter,0.0000,59
24,backpack,0.0000,285
26,handbag,0.0000,272
28,suitcase,0.0000,187
29,frisbee,0.0000,117
31,snowboard,0.0000,111
32,sports ball,0.0000,231
34,baseball bat,0.0000,145
35,baseball glove,0.0000,108
42,fork,0.0000,262
43,knife,0.0000,251
44,spoon,0.0000,190
52,hot dog,0.0000,128
58,potted plant,0.0000,368
64,mouse,0.0000,97
65,remote,0.0000,242
67,cell phone,0.0000,279
68,microwave,0.0000,81
70,toaster,0.0000,9
76,scissors,0.0000,78
78,hair drier,0.0000,5
79,toothbrush,0.0000,80
